"","l1_name","l1_code","l2_name","l2_code"
"255","Madhya Pradesh",23,"Vidisha",443
"256","Madhya Pradesh",23,"Bhopal",444
"257","Madhya Pradesh",23,"Sehore",445
"258","Madhya Pradesh",23,"Raisen",446
"259","Madhya Pradesh",23,"Betul",447
"260","Madhya Pradesh",23,"Harda",448
"261","Madhya Pradesh",23,"Hoshangabad",449
"262","Madhya Pradesh",23,"Katni",450
"263","Madhya Pradesh",23,"Jabalpur",451
"264","Madhya Pradesh",23,"Narsimhapur",452
"265","Madhya Pradesh",23,"Dindori",453
"266","Madhya Pradesh",23,"Mandla",454
"267","Madhya Pradesh",23,"Chhindwara",455
"268","Madhya Pradesh",23,"Seoni",456
"269","Madhya Pradesh",23,"Balaghat",457
"270","Madhya Pradesh",23,"Guna",458
"271","Madhya Pradesh",23,"Ashoknagar",459
"272","Madhya Pradesh",23,"Shahdol",460
"273","Madhya Pradesh",23,"Anuppur",461
"274","Madhya Pradesh",23,"Sidhi",462
"275","Madhya Pradesh",23,"Singrauli",463
"276","Madhya Pradesh",23,"Jhabua",464
"277","Madhya Pradesh",23,"Alirajpur",465
"278","Madhya Pradesh",23,"Khandwa (East Nimar)",466
"279","Madhya Pradesh",23,"Burhanpur",467
"280","Gujarat",24,"Kachchh",468
"281","Gujarat",24,"Banas Kantha",469
"282","Gujarat",24,"Patan",470
"283","Gujarat",24,"Mahesana",471
"284","Gujarat",24,"Sabar Kantha",472
"285","Gujarat",24,"Gandhinagar",473
"286","Gujarat",24,"Ahmadabad",474
"287","Gujarat",24,"Surendranagar",475
"288","Gujarat",24,"Rajkot",476
"289","Gujarat",24,"Jamnagar",477
"290","Gujarat",24,"Porbandar",478
"291","Gujarat",24,"Junagadh",479
"292","Gujarat",24,"Amreli",480
"293","Gujarat",24,"Bhavnagar",481
"294","Gujarat",24,"Anand",482
"295","Gujarat",24,"Kheda",483
"296","Gujarat",24,"Panch Mahals",484
"297","Gujarat",24,"Dohad",485
"298","Gujarat",24,"Vadodara",486
"299","Gujarat",24,"Narmada",487
"300","Gujarat",24,"Bharuch",488
"301","Gujarat",24,"The Dangs",489
"302","Gujarat",24,"Navsari",490
"303","Gujarat",24,"Valsad",491
"304","Gujarat",24,"Surat",492
"305","Gujarat",24,"Tapi",493
"306","Daman & Diu",25,"Diu",494
"307","Daman & Diu",25,"Daman",495
"308","Dadra & Nagar Haveli",26,"Dadra & Nagar Haveli",496
"309","Maharashtra",27,"Nandurbar",497
"310","Maharashtra",27,"Dhule",498
"311","Maharashtra",27,"Jalgaon",499
"312","Maharashtra",27,"Buldana",500
"313","Maharashtra",27,"Akola",501
"314","Maharashtra",27,"Washim",502
"315","Maharashtra",27,"Amravati",503
"316","Maharashtra",27,"Wardha",504
"317","Maharashtra",27,"Nagpur",505
"318","Maharashtra",27,"Bhandara",506
"319","Maharashtra",27,"Gondiya",507
"320","Maharashtra",27,"Gadchiroli",508
"321","Maharashtra",27,"Chandrapur",509
"322","Maharashtra",27,"Yavatmal",510
"323","Maharashtra",27,"Nanded",511
"324","Maharashtra",27,"Hingoli",512
"325","Maharashtra",27,"Parbhani",513
"326","Maharashtra",27,"Jalna",514
"327","Maharashtra",27,"Aurangabad",515
"328","Maharashtra",27,"Nashik",516
"329","Maharashtra",27,"Thane",517
"330","Maharashtra",27,"Mumbai Suburban",518
"331","Maharashtra",27,"Mumbai",519
"332","Maharashtra",27,"Raigarh",520
"333","Maharashtra",27,"Pune",521
"334","Maharashtra",27,"Ahmadnagar",522
"335","Maharashtra",27,"Bid",523
"336","Maharashtra",27,"Latur",524
"337","Maharashtra",27,"Osmanabad",525
"338","Maharashtra",27,"Solapur",526
"339","Maharashtra",27,"Satara",527
"340","Maharashtra",27,"Ratnagiri",528
"341","Maharashtra",27,"Sindhudurg",529
"342","Maharashtra",27,"Kolhapur",530
"343","Maharashtra",27,"Sangli",531
"344","Andhra Pradesh",28,"Adilabad",532
"345","Andhra Pradesh",28,"Nizamabad",533
"346","Andhra Pradesh",28,"Karimnagar",534
"347","Andhra Pradesh",28,"Medak",535
"348","Andhra Pradesh",28,"Hyderabad",536
"349","Andhra Pradesh",28,"Rangareddy",537
"350","Andhra Pradesh",28,"Mahbubnagar",538
"351","Andhra Pradesh",28,"Nalgonda",539
"352","Andhra Pradesh",28,"Warangal",540
"353","Andhra Pradesh",28,"Khammam",541
"354","Andhra Pradesh",28,"Srikakulam",542
"355","Andhra Pradesh",28,"Vizianagaram",543
"356","Andhra Pradesh",28,"Visakhapatnam",544
"357","Andhra Pradesh",28,"East Godavari",545
"358","Andhra Pradesh",28,"West Godavari",546
"359","Andhra Pradesh",28,"Krishna",547
"360","Andhra Pradesh",28,"Guntur",548
"361","Andhra Pradesh",28,"Prakasam",549
"362","Andhra Pradesh",28,"Sri Potti Sriramulu Nellore",550
"363","Andhra Pradesh",28,"Y.S.R.",551
"364","Andhra Pradesh",28,"Kurnool",552
"365","Andhra Pradesh",28,"Anantapur",553
"366","Andhra Pradesh",28,"Chittoor",554
"367","Karnataka",29,"Belgaum",555
"368","Karnataka",29,"Bagalkot",556
"369","Karnataka",29,"Bijapur",557
"370","Karnataka",29,"Bidar",558
"371","Karnataka",29,"Raichur",559
"372","Karnataka",29,"Koppal",560
"373","Karnataka",29,"Gadag",561
"374","Karnataka",29,"Dharwad",562
"375","Karnataka",29,"Uttara Kannada",563
"376","Karnataka",29,"Haveri",564
